Site,Slope,Plot,Code,Elev,OM,Log_OM,N,Log_N,P_WB,Log_P_WB,P_SB,Log_P_SB,PH,Log_PH,K,Log_K,MG,Log_MG,CA,Log_CA,CA/MG,Log_CA/MG,CEC,Log_CEC,Prin1,Prin2,Light.umol,%HOR,%SEN,%ARA,%PHA
3,N,9,3N,627,5.1,1.629,132,4.883,0.9,-0.105,26.1,3.262,6.8,1.917,20.7,3.03,368.5,5.909,76.9,4.343,0.209,-1.567,3.6,1.281,0.661817096,-1.659976692,1118.1,0.0625,0.0625,0.3125,0.0625
3,N,10,3N,627,3.6,1.281,101,4.615,0.9,-0.105,24.1,3.182,7,1.946,40.8,3.709,1133,7.033,116.2,4.755,0.103,-2.277,10,2.303,-0.607537035,0.265407941,656.8,0.4375,0,0.125,0.0625
3,S,1,3S,612,1.3,0.262,55.8,4.022,0.1,-2.303,20.5,3.02,7.3,1.988,20.7,3.03,709.5,6.565,126.3,4.839,0.178,-1.726,6.6,1.887,-2.711123308,-1.36506789,2003,0.875,0,0.125,0.25
3,S,2,3S,612,2.6,0.956,82.6,4.414,0.3,-1.204,6.7,1.902,7.3,1.988,24.8,3.211,804.8,6.691,169.8,5.135,0.211,-1.556,7.6,2.028,-1.532546974,-0.904921514,685.9,0.1875,0.0625,0.375,0
3,S,3,3S,612,2.7,0.993,83,4.419,2.7,0.993,0.6,-0.511,7.2,1.974,28.8,3.36,859.5,6.756,117.8,4.769,0.137,-1.987,7.8,2.054,-1.582185553,-0.652302519,1964.7,0.4375,0.125,0.125,0.0625
3,S,4,3S,612,1.6,0.47,61.8,4.124,0.6,-0.511,4.4,1.482,7.3,1.988,16.8,2.821,723,6.583,110.7,4.707,0.153,-1.877,6.6,1.887,-2.429400556,-1.152933571,1026.2,0.1875,0,0,0
3,S,5,3S,612,1.8,0.588,66.8,4.202,2,0.693,0.8,-0.223,7.3,1.988,22.6,3.118,870.5,6.769,110.6,4.706,0.127,-2.063,7.8,2.054,-2.383137639,-0.763176685,1961.9,0.875,0,0.1875,0.3125
3,S,6,3S,612,1.7,0.531,63.8,4.156,0.8,-0.223,0.9,-0.105,7.3,1.988,18.1,2.896,728.9,6.592,116.4,4.757,0.16,-1.835,6.7,1.902,-2.499571934,-1.249453485,1877.9,0.5625,0,0.1875,0.0625
3,S,7,3S,612,1.7,0.531,63.6,4.153,2.6,0.956,0.2,-1.609,7.2,1.974,27.9,3.329,894.6,6.796,106.2,4.665,0.119,-2.131,8,2.079,-2.528609429,-0.88847946,2009,0.75,0,0.3125,0.25
3,S,8,3S,612,1.7,0.531,63.8,4.156,4.7,1.548,14.6,2.681,7.2,1.974,14,2.639,506,6.227,133,4.89,0.263,-1.336,4.9,1.589,-1.310735264,-1.859802287,2019,0.5,0.125,0.1875,0.0625
