,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU245,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Melanoleuca,Melanoleuca paedida
OTU246,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,NA,NA
OTU247,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,Tuber whetstonense
OTU248,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
OTU249,Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora,NA
OTU250,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,NA
OTU251,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA
OTU252,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,NA,NA
OTU253,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Thelonectria,NA
OTU254,Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
OTU255,Fungi,Basidiomycota,Agaricomycetes,Corticiales,NA,NA,NA
OTU256,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
OTU257,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU258,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Septoria,NA
OTU259,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium humicoloides
OTU260,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU261,Fungi,Basidiomycota,Agaricomycetes,NA,NA,NA,NA
OTU262,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,NA
OTU263,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Pseudotricharina,Pseudotricharina intermedia
OTU264,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Rachicladosporium,NA
OTU265,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetales,Archaeorhizomycetaceae,Archaeorhizomyces,NA
OTU266,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Venturia,NA
OTU267,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA
OTU268,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
OTU269,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,NA
OTU270,Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,Acremonium,NA
OTU271,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU272,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Helminthosporium,Helminthosporium solani
OTU273,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
OTU274,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,NA,NA
OTU275,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Neostagonospora,NA
OTU276,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,NA,NA
OTU277,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU278,Fungi,Basidiomycota,Tritirachiomycetes,Tritirachiales,NA,NA,NA
OTU279,Fungi,Glomeromycota,Glomeromycetes,Glomerales,NA,NA,NA
OTU280,Fungi,Glomeromycota,Glomeromycetes,Diversisporales,Diversisporaceae,NA,NA
OTU281,Fungi,Basidiomycota,Agaricomycetes,Polyporales,NA,NA,NA
OTU282,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Ilyonectria,Ilyonectria mors-panacis
OTU283,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Dioszegia,Dioszegia hungarica
OTU284,Fungi,Ascomycota,Sordariomycetes,Diaporthales,NA,NA,NA
OTU285,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusicolla,Fusicolla merismoides
OTU286,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Cryptosporiopsis,NA
OTU287,Fungi,Basidiomycota,Agaricomycetes,Tremellodendropsidales,NA,NA,NA
OTU288,Fungi,Ascomycota,NA,NA,NA,NA,NA
OTU289,Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
